"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"1","Alabama Power Company","Alabama","01-010","184720929","22308151","150605","265405087"
"2","Alabama Water Service Company","Alabama","01-021","3382059","463001","4678",NA
"3","Baldwin County Power Company","Alabama","01-032","62618","31170","437","770360"
"4","Birmingham Electric Company","Alabama","01-043","16265235","5279887","75273","370769858"
"5","Interstate Utilities Co.","Alabama","01-087","163221",NA,"75273","370769858"
"6","Liddell Power Company","Alabama","01-098","163221",NA,"75273","370769858"
"7","Riviera Utilities Corporation","Alabama","01-131","399991",NA,NA,"370769858"
"8","Tuskegee Light & Power Company*","Alabama","01-164","399991",NA,NA,"370769858"
"9","ing 1941and company dissolved.","Alabama","01-670",NA,NA,NA,"370769858"
"10","Alabama Marble Company","Alabama","01-205",NA,NA,NA,"370769858"
"11","Avondale Mills","Alabama","01-210",NA,NA,NA,"370769858"
"12","Bessemer Coal, Iron & Land Co.","Alabama","01-221","5000","1180","57","370769858"
"13","Danville Knitting Mills, Inc.","Alabama","01-224","5000","1180","57","370769858"
"14","Little Cahaba Coal Company","Alabama","01-243","5000","1180","57","370769858"
"15","W. M. McGowin Lumber Co., Inc.","Alabama","01-245","200",NA,"57","370769858"
"16","Mount Vernon-Woodberry","Alabama","01-247",NA,NA,"57","370769858"
"17","T. R. Miller Mill Company, Inc.","Alabama","01-248",NA,NA,"57","370769858"
"18","Newcastle Coal Company","Alabama","01-254",NA,NA,"57","370769858"
"19","Planters Chemical and Oil","Alabama","01-265",NA,NA,"57","370769858"
"20","Roden Coal Company","Alabama","01-276",NA,NA,"57","370769858"
"21","Sloss-Sheffield Steel & Iron","Alabama","01-287","1062141","118966","1","370769858"
"22","International Paper Company","Alabama","01-298","1062141","118966","1","370769858"
"23","Tennessee Coal, Iron and Railroad","Alabama","01-320","1062141","118966","1","370769858"
"24","Vredenburgh Sawmill Company","Alabama","01-331","40000",NA,"1","370769858"
"25","West Point Manufacturing","Alabama","01-340","293127","99765","2991","370769858"
"26","* City of Albertville Electric","Alabama","01-507","156154","69000","1024","7136657"
"27","•Alexander City Electric Light","Alabama","01-510","47500",NA,"1024","7136657"
"28","*City of Athens, Light","Alabama","01-521","457430","10693","2323","7499"
"29","*Bessemer Electric Service""","Alabama","01-525","1361","100","3384","6071628"
"30","""Town of Courtland, Electric","Alabama","01-530","30017","5662","210","298000"
"31","*CuIIman Light and Water Plant","Alabama","01-532","422223","132715","210","298000"
"32","*City of Decatur Electric Depart","Alabama","01-540","550431","295868",NA,"298000"
"33","*Dothan Water & Electric","Alabama","01-543",NA,NA,NA,"298000"
"34","*Evergreen Electric System","Alabama","01-554",NA,NA,NA,"298000"
"35","*Town of Fairhope","Alabama","01-565",NA,NA,NA,"298000"
"36","*City of Florence, Electricity","Alabama","01-570","472975","210288","2980","14529333"
"37","*Improvement Authority, City of","Alabama","01-572","140262","31689","1284","1981200"
"38","*Guntersville Municipal","Alabama","01-574","141583","75392","1019","7570100"
"39","""Hartford Water & Light Plant","Alabama","01-576","100000","17411","370","591080"
"40","*City of Hartselle •","Alabama","01-578","77747","28226","789","1597800"
"41","*City of Huntsville ""","Alabama","01-582","1621358","284976","6142","30671620"
"42","""Lafayette Light and Water Plant","Alabama","01-587",NA,NA,NA,"30671620"
"43","*City of Lanett","Alabama","01-598","80000","32275","850","961600"
"44","""Town of Luverne","Alabama","01-609","80000","32275","850","961600"
"45","*Town of Muscle Shoals a","Alabama","01-620","31850","8798","180","961600"
