"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"1","Ajo Improvement Company","Arizona","02-010",NA,NA,NA,NA
"2","Arizona Edison Company, Inc.","Arizona","02-015",NA,NA,NA,NA
"3","Arizona Electric Power Company","Arizona","02-021",NA,NA,"1682",NA
"4","Arizona General Utilities Company","Arizona","02-027",NA,NA,"1721",NA
"5","The Arizona Power Corporation","Arizona","02-033",NA,NA,NA,NA
"6","California Electric Power","Arizona","02-045",NA,NA,NA,NA
"7","UM1.","Arizona","02-096",NA,NA,NA,NA
"8","Central Arizona Light and Power","Arizona","02-049",NA,NA,NA,NA
"9","Citizens Utilities Company","Arizona","02-054",NA,NA,NA,"31823479"
"10","Duncan Utilities Co.","Arizona","02-060",NA,NA,"443","31823479"
"11","Eloy Light, Power & Utility","Arizona","02-071",NA,NA,"275","31823479"
"12","Flagstaff F'ectric Light Company","Arizona","02-077",NA,NA,"1520","2198831"
"13","Fredonia Power & Light Company","Arizona","02-082",NA,NA,"1520","2198831"
"14","Holbrook Light and Power","Arizona","02-088",NA,NA,"590","1290305"
"15","Hualapai Trading Post","Arizona","02-090",NA,NA,"590","1290305"
"16","Lakeside Light and Power","Arizona","02-092",NA,NA,"590","1290305"
"17","Mammoth Light and Power","Arizona","02-094",NA,NA,"590","1290305"
"18","The Morenci Water & Electric","Arizona","02-095",NA,NA,NA,"1290305"
"19","The Nevada-California Electric","Arizona","02-096",NA,NA,NA,"1290305"
"20","The following data are for the year 1040:","Arizona","02-O45",NA,NA,NA,"1290305"
"21","Northern Arizona Utilities","Arizona","02-099",NA,NA,NA,"1290305"
"22","Parker Electric Supply","Arizona","02-102",NA,NA,NA,"1290305"
"23","Patagonia Ice & Light Company","Arizona","02-104",NA,NA,NA,"1290305"
"24","Ray Electric and Telephone","Arizona","02-121",NA,NA,"872","951047"
"25","Round Valley Light & Power","Arizona","02-127",NA,NA,"279","951047"
"26","San Simon Light & Power","Arizona","02-138",NA,NA,"279","951047"
"27","Principal Officer:","Arizona","02-890",NA,NA,"279","951047"
"28","Southern Arizona Public Service","Arizona","02-148",NA,NA,"707","951047"
"29","The Tucson Gas, Electric Light","Arizona","02-160",NA,NA,"707","951047"
"30","Upper Verde Public Utilities","Arizona","02-171",NA,NA,"1345","2032183"
"31","Warren Company","Arizona","02-177",NA,NA,"626","661678"
"32","The Atchison, Topeka & Santa Fe","Arizona","02-202",NA,NA,"626","661678"
"33","Inspiration Consolidated Copper","Arizona","02-210",NA,NA,"626","661678"
"34","Kennecott Copper Corporation","Arizona","02-221",NA,NA,"626","661678"
"35","Paul Lime Plant","Arizona","02-228",NA,NA,"626","661678"
"36","Payson Garage","Arizona","02-230",NA,NA,"626","661678"
"37","Phelps Dodge Corporation","Arizona","02-232",NA,NA,"626","661678"
"38","Pine-Payson Motor Co. & Randall","Arizona","02-240",NA,NA,"626","661678"
"39","The Tom Reed Gold Mines","Arizona","02-243",NA,NA,"250","661678"
"40","Rees Hotel","Arizona","02-254",NA,NA,"250","661678"
"41","Saginaw and Manistee Lumber","Arizona","02-255",NA,NA,"2","661678"
"42","Southwest Lumber Mills, Inc.","Arizona","02-260",NA,NA,"2","661678"
"43","*Gila Valley Power District","Arizona","02-507",NA,NA,"120","3483208"
"44","""City of Mesa-Utilities","Arizona","02-512",NA,NA,"1844","19404961580"
"45","*Salt River Valley Water Users'","Arizona","02-523",NA,NA,"7341","281047058"
"46","•'Tombstone Light & Power Plant","Arizona","02-525",NA,NA,"180","281047058"
"47","""San Carlos Irrigation & Drainage","Arizona","02-526",NA,NA,NA,"281047058"
"48","*Showlow- Silver Creek Water","Arizona","02-530",NA,NA,NA,"281047058"
"49","*U. S. Bureau of Reclamation,","Arizona","02-535",NA,NA,NA,"281047058"
"50","*Wickenburg Light & Power","Arizona","02-538",NA,NA,NA,"281047058"
"51","*Town of Williams","Arizona","02-550",NA,NA,"625","844847"
"52","*U. S. Indian Irrigation Service,","Arizona","02-555",NA,NA,"591","844847"
"53","*Sulphur Springs Valley Electric","Arizona","02-890",NA,NA,"591","844847"
"54","• Served prior to June 30, 1941by San Simon Light","Arizona","02-138",NA,NA,NA,NA
"55","Arizona Edison Company, Inc.","Arizona","02-015","3552433","1093601",NA,NA
"56","Arizona Electric Power Company","Arizona","02-021","826466","150173","1682",NA
"57","Arizona General Utilities Company","Arizona","02-027","589940","148892","1721",NA
"58","The Arizona Power Corporation","Arizona","02-033",NA,NA,NA,NA
"59","California Electric Power","Arizona","02-045",NA,NA,NA,NA
"60","UM1.","Arizona","02-096",NA,NA,NA,NA
"61","Central Arizona Light and Power","Arizona","02-049",NA,NA,NA,NA
"62","Citizens Utilities Company","Arizona","02-054","4761702",NA,NA,"31823479"
"63","Duncan Utilities Co.","Arizona","02-060","96000","256","443","31823479"
"64","Eloy Light, Power & Utility","Arizona","02-071","124925","160000","275","31823479"
"65","Flagstaff F'ectric Light Company","Arizona","02-077","369518","131468","1520","2198831"
"66","Fredonia Power & Light Company","Arizona","02-082",NA,"131468","1520","2198831"
"67","Holbrook Light and Power","Arizona","02-088","123129","61937","590","1290305"
"68","Hualapai Trading Post","Arizona","02-090","123129","61937","590","1290305"
"69","Lakeside Light and Power","Arizona","02-092",NA,NA,"590","1290305"
"70","Mammoth Light and Power","Arizona","02-094",NA,NA,"590","1290305"
"71","The Morenci Water & Electric","Arizona","02-095","67998",NA,NA,"1290305"
"72","The Nevada-California Electric","Arizona","02-096","67998",NA,NA,"1290305"
"73","The following data are for the year 1040:","Arizona","02-O45",NA,NA,NA,"1290305"
"74","Northern Arizona Utilities","Arizona","02-099",NA,NA,NA,"1290305"
"75","Parker Electric Supply","Arizona","02-102","30000",NA,NA,"1290305"
"76","Patagonia Ice & Light Company","Arizona","02-104","30000",NA,NA,"1290305"
"77","Ray Electric and Telephone","Arizona","02-121","77185","49256","872","951047"
"78","Round Valley Light & Power","Arizona","02-127","71200","16973","279","951047"
"79","San Simon Light & Power","Arizona","02-138","71200","16973","279","951047"
"80","Principal Officer:","Arizona","02-890","4758",NA,"279","951047"
"81","Southern Arizona Public Service","Arizona","02-148","249832","50896","707","951047"
"82","The Tucson Gas, Electric Light","Arizona","02-160",NA,NA,"707","951047"
"83","Upper Verde Public Utilities","Arizona","02-171","158773","98050","1345","2032183"
"84","Warren Company","Arizona","02-177","130628","28717","626","661678"
"85","The Atchison, Topeka & Santa Fe","Arizona","02-202",NA,"28717","626","661678"
"86","Inspiration Consolidated Copper","Arizona","02-210",NA,"687550","626","661678"
"87","Kennecott Copper Corporation","Arizona","02-221",NA,"687550","626","661678"
"88","Paul Lime Plant","Arizona","02-228",NA,NA,"626","661678"
"89","Payson Garage","Arizona","02-230","6000","2777","626","661678"
"90","Phelps Dodge Corporation","Arizona","02-232",NA,NA,"626","661678"
"91","Pine-Payson Motor Co. & Randall","Arizona","02-240",NA,NA,"626","661678"
"92","The Tom Reed Gold Mines","Arizona","02-243","23862","14579","250","661678"
"93","Rees Hotel","Arizona","02-254","23862","14579","250","661678"
"94","Saginaw and Manistee Lumber","Arizona","02-255","389380","28934","2","661678"
"95","Southwest Lumber Mills, Inc.","Arizona","02-260","200000","28934","2","661678"
"96","*Gila Valley Power District","Arizona","02-507","211852","49841","120","3483208"
"97","""City of Mesa-Utilities","Arizona","02-512","282259","101836","1844","19404961580"
"98","*Salt River Valley Water Users'","Arizona","02-523","23820348","2934477","7341","281047058"
"99","•'Tombstone Light & Power Plant","Arizona","02-525","25000","9362","180","281047058"
"100","""San Carlos Irrigation & Drainage","Arizona","02-526","142288",NA,NA,"281047058"
"101","*Showlow- Silver Creek Water","Arizona","02-530","89911","14360",NA,"281047058"
"102","*U. S. Bureau of Reclamation,","Arizona","02-535","89911","14360",NA,"281047058"
"103","*Wickenburg Light & Power","Arizona","02-538",NA,NA,NA,"281047058"
"104","*Town of Williams","Arizona","02-550","50000","43713","625","844847"
"105","*U. S. Indian Irrigation Service,","Arizona","02-555","1436162","197205","591","844847"
"106","*Sulphur Springs Valley Electric","Arizona","02-890","435738",NA,"591","844847"
