"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"1","Arkansas General Utilities","Arkansas","03-010.",NA,NA,NA,NA
"2","Arkansas-Missouri Power","Arkansas","03-016",NA,NA,NA,NA
"3","Arkansas Power & Light Company","Arkansas","03-022",NA,NA,NA,NA
"4","Arkansas Utilities Company","Arkansas","03-029","1809406",NA,"4627","3761000"
"5","Benton County Utilities","Arkansas","03-035","256413","36805","847","1112984"
"6","Bradley Ice & Light Company","Arkansas","03-045","8000","1250","72","48000"
"7","Calico Rock Ice & Electric","Arkansas","03-054",NA,NA,"72","48000"
"8","Citizens Electric Company","Arkansas","03-067 .","1780858","494437","6735","2344500"
"9","Citizens Light & Power Company","Arkansas","03-073","32839",NA,NA,"2344500"
"10","Clinton Light & Ice Company, Inc.","Arkansas","03-076","6047","2596","67","86100"
"11","Elaine Utilities Company","Arkansas","03-082",NA,"2596","67","86100"
"12","Graham Brothers Company","Arkansas","03-095","1809",NA,"67","86100"
"13","Huntsville Utilities, Inc.","Arkansas","03-101","2191","11970","220","86100"
"14","Leslie Electric Company","Arkansas","03-105",NA,NA,"220","86100"
"15","Marshall Ice & Electric","Arkansas","03-107",NA,NA,"220","86100"
"16","Oklahoma Gas and Electric","Arkansas","03-127",NA,NA,"220","86100"
"17","Public Utilities Company","Arkansas","03-133","62563","34469","1007","822915"
"18","Salem Light & Ice Company","Arkansas","03-139",NA,"34469","1007","822915"
"19","Southwestern Gas and Electric","Arkansas","03-152",NA,"34469","1007","822915"
"20","West Memphis Power & Water","Arkansas","03-166","172991","94545","900","2238120"
"21","Bradley Lumber Company of","Arkansas","03-210","172991","94545","900","2238120"
"22","Caddo River Lumber Company","Arkansas","03-232","172991","94545","900","2238120"
"23","Crossett Lumber Company","Arkansas","03-239","628587","628587","3","2238120"
"24","Dierks Lumber & Coal Company","Arkansas","03-243","505410","505410","1840505410268163","2238120"
"25","Republic Mining and Manufac","Arkansas","03-276","207206","4831","262","2238120"
"26","Union Saw Mill Company","Arkansas","03-309","207206","4831","262","2238120"
"27","'Augusta City Light and Water","Arkansas","03-510","38125","15256","407","2238120"
"28","*Benton Electric Light and Power","Arkansas","03-521","128728","62428","1261","2238120"
"29","*Bentonville Light and Water","Arkansas","03-532","128728","62428","1261","2238120"
"30","M larksville Consolidated Water","Arkansas","03-543","152000","43000","1261","2238120"
"31","*Conway Corporation","Arkansas","03-554","387254","99156","1261","2238120"
"32","*Forrest City Water & Light","Arkansas","03-565","390000","85786","1600","2238120"
"33","""Hope Water and Light Plant","Arkansas","03-576","304989",NA,"1600","2238120"
"34","'City Water and Light Plant of the","Arkansas","03-587","95718","221373","3480","2238120"
"35","'North Little Rock Electric","Arkansas","03-598",NA,NA,NA,"2238120"
"36","'Osceola Light and Power Plant","Arkansas","03-609","324360","87442",NA,"2238120"
"37","'Paragould Light Plant","Arkansas","03-615","223336","72327","1737","2238120"
"38","*Paris Municipal Light Plant","Arkansas","03-620","162635","62414","888","2238120"
"39","*Piggott Public Improvement","Arkansas","03-631","100066","25462","929","2238120"
"40","*Prescott Water and Light Plant","Arkansas","03-642","110326","42784","720","2238120"
"41","*Siloam Springs Municipal Light","Arkansas","03-653","136100","48235","1027","2238120"
"42","""Light & Water Department","Arkansas","03-670","210000",NA,"1027","2238120"
"43","'Arkansas Valley Electric Co","Arkansas","03-808","492044","22","1239","479460"
"44","*C & L Rural Electric Cooperative","Arkansas","03-817","139623",NA,NA,"479460"
"45","*Carroll Electric Cooperative","Arkansas","03-823","699071","47660","1940","650580"
"46","*Clay County Electric Cooperative","Arkansas","03-825","303259",NA,"1940","650580"
"47","*Craighead Electric Cooperative","Arkansas","03-828","649680",NA,"1940","650580"
"48","*Farmers Electric Cooperative","Arkansas","03-850","198969","15989","493","295240"
"49","*First Electric Cooperative Cor","Arkansas","03-853","451959",NA,NA,"295240"
"50","'Mississippi County Electric","Arkansas","03-905","224206","17878","499","148439"
"51","*North Arkansas Electric Coop","Arkansas","03-920","164580","5340","438","2902000"
"52","""Ouachita Rural Electric Coop","Arkansas","03-930","105617","5220","287","10375"
"53","*Ozarks Rural Electric Coopera","Arkansas","03-935","311571",NA,NA,"10375"
"54","'""Southwest Arkansas Electric","Arkansas","03-950","410622","29203","907","438520"
