"","name_text6","state_text6","last_digit_text6"
"1","•Alabama Electric Cooperative","Alabama","12"
"2","Alabama Marble Company","Alabama","5"
"3","Alabama Power Company","Alabama","1"
"4","Alabama Water Service Company","Alabama","4"
"5","*Albertville, Electric Department, City of","Alabama","7"
"6","•Alexander City Electric Light Plant","Alabama","7"
"7","'Athens Light Department, City of","Alabama","7"
"8","Avondale Mills","Alabama","5"
"9","tion","Alabama","12"
"10","Baldwin County Power Company","Alabama","4"
"11","Bessemer Coal, Iron & Land Co","Alabama","6"
"12","*Bessemer Electric Service","Alabama","7"
"13","Birmingham Electric Company","Alabama","4"
"14","*Black Warrior Electric Membership Corporation..","Alabama","12"
"15","•Central Alabama Electric Cooperative","Alabama","12"
"16","tion","Alabama","12"
"17","ration","Alabama","12"
"18","•Coosa Valley Electric Cooperative, Inc A","Alabama","12"
"19","•Courtland Electric Department, Town of A","Alabama","7"
"20","""Cullman Electric Cooperative","Alabama","13"
"21","*Cullman Light and Water Plant","Alabama","8"
"22","Danville Knitting Mills, Inc","Alabama","6"
"23","*Decatur Electric Department, City of","Alabama","8"
"24","*Dixie Electric Cooperative","Alabama","13"
"25","*Dothan Water & Electric Department","Alabama","8"
"26","*Evergreen Electric System A","Alabama","8"
"27","*Fairhope, Town of","Alabama","8"
"28","•Florence, Electricity Department, City of","Alabama","8"
"29","*Fort Payne, Improvement Authority, City of","Alabama","9"
"30","*Guntersville Municipal System","Alabama","9"
"31","""Hartford Water & Light Plant","Alabama","9"
"32","*Hartselle, City of","Alabama","9"
"33","*Huntsville, City of","Alabama","9"
"34","Division","Alabama","6"
"35","Interstate Utilities Co","Alabama","4"
"36","""""Lafayette Lightand Water Plant","Alabama","9"
"37","*Lanett, City of","Alabama","10"
"38","Liddell Power Company","Alabama","5"
"39","Little Cahaba Coal Company","Alabama","6"
"40","*Luverne, Town of","Alabama","10"
"41","McOowin Lumber Co., Inc. W. M","Alabama","6"
"42","Miller Mill Co., Inc., T. R","Alabama","6"
"43","Mount Vernon-Woodberry Mills, Inc","Alabama","6"
"44","*Muscle Shoals, Town of","Alabama","10"
"45","Newcastle Coal Company","Alabama","6"
"46","*North Alabama Electric Cooperative","Alabama","13"
"47","*Opelika Light and Water Department","Alabama","10"
"48","*Pea River Electric Cooperative","Alabama","13"
"49","*Piedmont, City of","Alabama","10"
"50","*Pioneer Electric Cooperative, Inc","Alabama","13"
"51","Planters Chemical and Oil Company","Alabama","6"
"52","Riviera Utilities Corporation","Alabama","5"
"53","Roden Coal Company","Alabama","6"
"54","*RusseIlville, City of","Alabama","10"
"55","*Sand Mountain Electric Cooperative","Alabama","13"
"56","*Scottsboro Electric Department","Alabama","10"
"57","'Sheffield City Power & Water Department","Alabama","11"
"58","Sloss-Sheffield Steel & Iron Company","Alabama","6"
"59","*South Alabama Electric Cooperative","Alabama","13"
"60","*Southern Pine Electric Membership Corporation _ _","Alabama","14"
"61","•Sylacauga Electric Department","Alabama","11"
"62","porated","Alabama","14"
"63","*Tarrant City, Electric Department, City of","Alabama","11"
"64","Tennessee Coal, Iron and Railroad Company","Alabama","6"
"65","'Tennessee Valley Authority","Alabama","11"
"66","*Troy Electric Department, City of","Alabama","11"
"67","*Tuscumbia Electricity Department, City of","Alabama","12"
"68","Tuskegee, City of","Alabama","12"
"69","Tuskegee Light & Power Company","Alabama","5"
"70","Vredenburgh Sawmill Company","Alabama","6"
"71","West Point Manufacturing Company","Alabama","7"
"72","* Wheeler Electric Membership Corporation, Joe","Alabama","14"
"73","*Wiregrass Electric Cooperative, Inc","Alabama","14"
"74","Ajo Improvement Company","Arizona","15"
"75","Arizona Edison Company, Inc","Arizona","15"
"76","Arizona Electric Power Company","Arizona","16"
"77","Arizona General Utilities Company","Arizona","16"
"78","Arizona Power Corporation, The","Arizona","16"
"79","The","Arizona","21"
"80","California Electric Power Company","Arizona","17"
"81","Central Arizona Light and Power Company","Arizona","17"
"82","Citizens Utilities Company","Arizona","17"
"83","Duncan Utilities Co","Arizona","17"
"84","Eloy Light, Power & Utility Company A","Arizona","18"
"85","Flagstaff Electric Light Company","Arizona","18"
"86","Fredonia Power & Light Company","Arizona","18"
"87","'Gila Valley Power District A","Arizona","22"
"88","Holbrook Light and Power Company","Arizona","18"
"89","Eualapai Trading Post","Arizona","18"
"90","Inspiration Consolidated Copper Company","Arizona","21"
"91","Kennecott Copper Corporation","Arizona","21"
"92","Lakeside Lightand Power Company","Arizona","18"
"93","Mammoth Light and Power Company","Arizona","18"
"94","*Mesa-Utilities Dept., City of","Arizona","22"
"95","Morenci Water & Electric Company, The","Arizona","19"
"96","Nevada-California Electric Corporation, The","Arizona","19"
"97","Northern Arizona Utilities Corporation","Arizona","19"
"98","Parker Electric Supply","Arizona","19"
"99","Patagonia Ice & Light Company","Arizona","19"
"100","Paul Lime Plant","Arizona","21"
"101","Payson Garage","Arizona","21"
"102","Phelps Dodge Corporation","Arizona","21"
"103","Pine-Payson Motor Co. & Randall Merc. Co","Arizona","21"
"104","Ray Electric and Telephone Company","Arizona","19"
"105","Reed Gold Mines Company, The Tom A","Arizona","21"
"106","Rees Hotel A","Arizona","21"
"107","Round Valley Light & Power Company","Arizona","19"
"108","Saginaw and Manistee Lumber Company","Arizona","21"
"109","*Salt River Valley Water Users' Association","Arizona","22"
"110","*San Carlos Irrigation & Drainage District","Arizona","22"
"111","San Simon Light & Power Company","Arizona","20"
"112","Power District","Arizona","23"
"113","Southern Arizona Public Service Company","Arizona","20"
"114","Southwest Lumber Mills, Inc","Arizona","22"
"115","•Sulphur Springs Valley Electric Cooperative, Inc.","Arizona","23"
"116","""Tombstone Light & Power Plant","Arizona","22"
"117","The","Arizona","20"
"118","*U. S. Bureau of Reclamation, Yuma Project","Arizona","23"
"119","*U. S. Indian Irrigation Service, San Carlos Proje","Arizona","23"
"120","Upper Verde Public Utilities Company","Arizona","20"
"121","Warren Company","Arizona","20"
"122","*Wickenburg Light & Power Department","Arizona","23"
"123","*Williams, Town of","Arizona","23"
"124","Arkansas General Utilities Company","Arkansas","25"
"125","Arkansas- Missouri Power Corporation","Arkansas","25"
"126","Arkansas Power & Light Company","Arkansas","26"
"127","Arkansas Utilities Company","Arkansas","27"
"128","'Arkansas Valley Electric Cooperative Corporatio","Arkansas","34"
"129","*Augusta City Light and Water Plant","Arkansas","32"
"130","Benton County Utilities Corporation","Arkansas","28"
"131","•Benton Electric Light and Power District No. 1__","Arkansas","32"
"132","•Bentonville Light and Water System","Arkansas","32"
"133","Bradley Ice & Light Company","Arkansas","28"
"134","Bradley Lumber Company of Arkansas","Arkansas","31"
"135","Caddo River Lumber Company","Arkansas","31"
"136","Calico Rock Ice & Electric Company, Inc","Arkansas","28"
"137","*C & L Rural Electric Cooperative Corporation..","Arkansas","34"
"138","""Carroll Electric Cooperative Corporation","Arkansas","34"
"139","Citizens Electric Company","Arkansas","28"
"140","Citizens Light & Power Company","Arkansas","28"
"141","•Clarksville Consolidated Water & Light District.","Arkansas","32"
"142","•Clay County Electric Cooperative Corporation","Arkansas","35"
"143","Clinton Light & Ice Company, Inc","Arkansas","28"
"144","•Conway Corporation A","Arkansas","32"
"145","""Craighead Electric Cooperative Corporation","Arkansas","35"
"146","Crossett Lumber Company","Arkansas","31"
"147","Dierks Lumber & Coal Company","Arkansas","31"
"148","Elaine Utilities Company","Arkansas","29"
"149","'Farmers Electric Cooperative Corporation..","Arkansas","35"
"150","*First Electric Cooperative Corporation","Arkansas","35"
"151","•Forrest City Water & Light Plant","Arkansas","32"
"152","Graham Brothers Company","Arkansas","29"
"153","""Hope Water and Light Plant","Arkansas","32"
"154","Huntsville Utilities-Inc","Arkansas","29"
"155","City of","Arkansas","33"
"156","Leslie Electric Company","Arkansas","29"
"157","Marshall Ice & Electric Company","Arkansas","29"
"158","•Mississippi County Electric Cooperative, Inc","Arkansas","35"
"159","*North Arkansas Electric Cooperative, Inc","Arkansas","35"
"160","*North Little Rock Electric Department","Arkansas","33"
"161","Oklahoma Gas and Electric Company","Arkansas","29"
"162","*0sceola Light and Power Plant","Arkansas","33"
"163","*0uachita Rural Electric Cooperative Corporation.","Arkansas","35"
"164","*0zarks Rural Electric Cooperative Corporation","Arkansas","35"
"165","*Paragould Light Plant Commission..","Arkansas","33"
"166","*Paris Municipal Light Plant","Arkansas","33"
"167","*Piggott Public Improvement District No. 1","Arkansas","33"
"168","*Prescott Water and Light Plant","Arkansas","34"
"169","Public Utilities Company","Arkansas","30"
"170","Republic Mining and Manufacturing Company A","Arkansas","31"
"171","Salem Light & Ice Company","Arkansas","30"
"172","*Siloam Springs Municipal Light Plant","Arkansas","34"
"173","tion","Arkansas","36"
"174","Southwestern Gas and Electric Company","Arkansas","30"
"175","Union Saw Mill Company","Arkansas","31"
"176","West Mem phis, Light & Water Dept., City of.","Arkansas","34"
