"","vector_company"
"1","01-010"
"2","Alabama Power Company"
"3","Electric Utility Plant $184,720,929"
"4","Electric Operating Revenues $22,308,151"
"5","Number of Electric Customers 150,605"
"6","(Generating Capacity:"
"7","Total. ..."
"8","KUowattt"
"9","579. 199"
"10","01-021"
"11","Alabama Water Service Company"
"12","Electric Utility Plant $3,382,059"
"13","Electric Operating Revenues $463,001"
"14","Number of Electric Customers 4,678"
"15","Generating Capacity:"
"16","Total"
"17","Kilowatts"
"18","10,183"
"19","Energy Available in Year:"
"20","Total ____ ........... - ............. 31,914, 197"
"21","Generating Capacity:"
"22","Internal Combustion."
"23",NA
"24",NA
"25","01-032"
"26","Baldwin County Power Company"
"27","Electric Utility Plant ---- $62,618"
"28","Electric Operating Revenues $31, 170"
"29","Sumber of Electric Customers. 437"
"30","Energy Purchased 770,360"
"31","Communities Served at Retail: Population"
"32","01-043"
"33","Birmingham Electric Company"
"34","Electric Utility Plant -- $16,265,235"
"35","Electric Operating Revenues $5,279,887"
"36","Number of Electric Customers 75, 273"
"37","Generating Capacity (Steam) 11,300"
"38","Kilowatt-hourt"
"39","Energy Purchased 370,769,858"
"40","Communities Served at Retail : Population"
"41","Energy Purchased 370,769,858"
"42","Communities Served at Retail : Population"
"43","01-087"
"44","Interstate Utilities Co."
"45","Electric Utility Plant $163,221"
"46","Electric Operating Revenues:"
"47","Generating Capacity: Ktlowatti"
"48","Internal Combustion.. 685"
"49","Communities Served at Retail: Population"
"50","Chatom 600"
"51","01-098"
"52","Liddell Power Company"
"53","01-131"
"54","Riviera Utilities Corporation"
"55","Electric Utility Plant $399,991"
"56","Number of Electric Customers 1,211"
"57","Generating Capacity Ktlowatti"
"58","(Internal combustion) 680"
"59","Energy Available In Year: KilowaU-hvuri"
"60","Total 4,187,583"
"61","01-164"
"62","Tuskegee Light & Power Company*"
"63","• Properties sold to City of Tuskegee (01-670) dur"
"64","ing 1941and company dissolved."
"65","Electric Operating Revenues .............. $93,770"
"66","Number of Electric Customers ............ 1,123"
"67","Energy Purchased ........................ 4,788,160"
"68","Communities Served at Retail: Population"
"69","01-205"
"70","Alabama Marble Company"
"71","Electric Operating Revenues ................. $.1,686"
"72","Number of Electric Customers __ ............ 70"
"73","01-210"
"74","Avondale Mills"
"75","Electric Operating Revenues ---- .......... $10,626"
"76","Number of Electric Customers _____________ 823"
"77","Generating Capacity (steam) ----- ...... 1,080"
"78","Kilowatt-kauri"
"79","Energy Sold to Ultimate Consumers. . . 635,702"
"80","Communities Served at Retail: Population"
"81","01-221"
"82","Bessemer Coal, Iron & Land Co."
"83","Electric Utility Plant $5,000"
"84","Electric Operating Revenues $1, 180"
"85","Number of Electric Customers 57"
"86","01-224"
"87","Danville Knitting Mills, Inc."
"88","01-243"
"89","Little Cahaba Coal Company"
"90","01-245"
"91","W. M. McGowin Lumber Co., Inc."
"92","Electric Utility Plant $2,00n"
"93","Number of Electric Customers. 20"
"94","Generating Capacity (steam) 15"
"95","Community Served at Retail: Population"
"96","Ruthven 523"
"97","Also Renders: Water service."
"98","01-247"
"99","Mount Vernon-Woodberry"
"100","Electric Operating Revenues $32,299"
"101","Number of Electric Customers 930"
"102","Generating Capacity (hydro) 8,000"
"103","Kilowatt-hours"
"104","Energy Sold to Ultimate Consumers 781,949"
"105","Communities Served at H«Uil: Population"
"106","01-248"
"107","T. R. Miller Mill Company, Inc."
"108","01-254"
"109","Newcastle Coal Company"
"110","01-265"
"111","Planters Chemical and Oil"
"112","01-276"
"113","Roden Coal Company"
"114","01-287"
"115","Sloss-Sheffield Steel & Iron"
"116","Electric Utility Plant $1,062,141"
"117","Electric Operating Revenues $118,966"
"118","Number of Electric Customers 1"
"119","Generating Capacity (steam) 14,60O"
"120","Kilowatt-hours"
"121","Energy Sold to Ultimate Consumers 19,735,200"
"122","Energy Sold for Resale 411,000"
"123","01-298"
"124","International Paper Company"
"125","01-320"
"126","Tennessee Coal, Iron and Railroad"
"127","01-331"
"128","Vredenburgh Sawmill Company"
"129","Electric Utility Plant $40,000"
"130","Number of Electric Customers. 05"
"131","01-340"
"132","West Point Manufacturing"
"133","Electric Utility Plant. $293,127"
"134","Electric Operating Revenues $99,765"
"135","Number of Electric Customers 2, 991"
"136","01-507"
"137","* City of Albertville Electric"
"138","Electric Utility Plant $156,154"
"139","Electric Operating Revenues $69,000"
"140","Number of Electric Customers 1,024"
"141","Energy Purchased 7,136,657"
"142","Community Served at Retail: Population"
"143","01-510"
"144","•Alexander City Electric Light"
"145","Electric Utility Plant $47,500"
"146","Energy Purchased 1,731, 560"
"147","Community Served at Retail: Population"
"148","01-521"
"149","*City of Athens, Light"
"150","Electric Utility Plant $457 430"
"151","Electric Operating Revenues... $106,93f"
"152","Number of Electric Customers 2, 323"
"153","Energy Purchased _ 7,49ft.9gO"
"154","Communities Served at Retail: Population"
"155","01-525"
"156","*Bessemer Electric Service"""
"157","Electric Utility Plant $1,Z36, 1»F"
"158","Electric Operating Revenues.. $100,M!!"
"159","Number of Electric Customers 3,384"
"160","Energy Purchased 6,071,628"
"161","Community Served at Retail: Population"
"162","01-530"
"163","""Town of Courtland, Electric"
"164","Electric Utility Plant $30,017"
