"","vector_company"
"1","32 033"
"2","Carolina Mountain Power"
"3","Electric Operating Revenues-------------- $51,379"
"4","Number of Electric Customers------------ 193"
"5","32 036"
"6","Carolina Power & Light Company"
"7","Electric Operating Revenues:"
"8","Number of Electric Customers:"
"9","32 063"
"10","Dillsboro and Sylva Electric Light"
"11","32 069"
"12","Duke Power Company"
"13","Electric Operating Revenues:"
"14","Number of Electric Customers:"
"15","Electric Operating Revenues------------ $1,132,686"
"16","Number of Electric Customers---------- 14,836"
"17","Electric Operating Revenues:"
"18","Number of Electric Customers:"
"19","32 102"
"20","Laurel Hill Electric Company"
"21","Electric Operating Revenues--------------- $5,080"
"22","Number of Electric Customers------------- 104"
"23","32 117"
"24","Nantahala Power and Light"
"25","Electric Operating Revenues------------ $191,209"
"26","Number of Electric Customers---------- 1,375"
"27","Electric Operating Revenues------------- $32,663"
"28","Number of Electric Customers----------- 689"
"29","32 123"
"30","Northwest Carolina Utilities,"
"31","Electric Operating Revenues------------ $138,034"
"32","Number of Electric Customers---------- 2,927"
"33","32 141"
"34","Roanoke Utilities Company"
"35","Electric Operating Revenues-------- - $25,887"
"36","Number of Electric Customers------------- 352"
"37","32 162"
"38","Smoky Mountain Power Company"
"39","Electric Operating Revenues-- - $39,030"
"40","Number of Electric Customers------------ 542"
"41","32 174"
"42","Tide Water Power Company"
"43","Electric Operating Revenues------------ $1,681,228"
"44","Number of Electric Customers---------- 21,795"
"45","32 177"
"46","Virginia Electric and Power"
"47","Electric Operating Revenues:"
"48","Number of Electric Customers:"
"49","32 215"
"50","Alexander Manufacturing Co."
"51","Electric Operating Revenues---------------- $4,450"
"52","Number of Electric Customers-------------- 191"
"53","32 225"
"54","Cannon Mills Co."
"55","32 230"
"56","Carolina Aluminum Company"
"57","Electric Operating Revenues---------- $3,198,047"
"58","Number of Electric Customers--------- 645"
"59","32 231"
"60","Cleveland Mill & Power Co."
"61","Electric Operating Revenues----------------- $6,804"
"62","Number of Electric Customers--------------- 258"
"63","32 242"
"64","Cliffside Mills"
"65","Electric Operating Revenues---------------- $14,681"
"66","Number of Electric Customers-------------- 608"
"67","32 253"
"68","Entwistle Manufacturing Co."
"69","Electric Operating Revenues----------------- $7,214"
"70","Number of Electric Customers--------------- 427"
"71","32 261"
"72","Leward Cotton Mills, Inc."
"73","32 278"
"74","Mansfield Mills, Inc."
"75","Electric Operating Revenues------------------- $933"
"76","Number of Electric Customers----------------- 325"
"77","32 280"
"78","Pinehurst, Inc."
"79","Electric Operating Revenues---------------- $51,863"
"80","Number of Electric Customers------------- 462"
"81","32 308"
"82","Rosman Tanning Extract Co."
